"","mu","kappa","theta","xi","rho","lambda","mu_s","sigma_s"
"28",0.106517342790842,3.1980495231883,0.0796186843373514,0.359946398178819,-0.879040322869647,3.3839704725741,-0.420441594022524,0.0359872522500869
"29",0.139613361904353,3.55954524186279,0.0745620129598584,0.305131974711078,-0.666017461051321,2.89138942821604,-0.323455630402453,0.0160422033258364
"30",0.236328093136456,1.03296574997456,0.0794720934103908,0.135592412784383,-0.887293714735522,3.36737595429398,-0.326225381206995,0.00663395346856235
"31",-0.141564732773827,9.17852465562212,0.0938756517352891,0.217512059811915,-0.535555671279412,2.802982748019,-0.391368683269427,0.00576925519141394
"32",0.215240667877129,2.54552990282129,0.0753099270898644,0.252071364704229,-0.915871682348785,3.08086398996969,-0.313195554206564,0.0106435427741494
"33",-0.0154034089477324,6.48000723517593,0.0860136143907371,0.45953769814132,-0.662498704625735,3.33931940296281,-0.327057680260703,0.00580164985219965
"34",-0.150493071040797,2.26011334148787,0.0863539277206364,0.269485169086848,-0.742145632466782,3.90349507245189,-0.335085190872214,0.018933538396211
"35",-0.125864667393563,3.00058051749132,0.0881437805626928,0.281308324554033,-0.732620976513656,3.83929422853186,-0.367918607371298,0.00744358690633126
"36",-0.134699821383801,2.14582101794124,0.0880704005069348,0.165319879545696,-0.989999999827022,3.86081091164714,-0.335477326707004,0.00801053787803575
"37",-0.00657530129982278,5.64389746177668,0.0991789513172716,0.331915599634209,-0.683471040642093,3.58999430249615,-0.401815958281834,0.0161816820108538
"38",0.0947040428836919,11.0014793604581,0.0625106335191685,0.375540008884926,-0.695101505355067,2.28856032408355,-0.399850676941848,0.00424094763497552
"39",0.0613618319874151,3.1660027686022,0.0714245761019162,0.29191027589472,-0.969512106040652,2.83203307904958,-0.333031759744532,0.00926292770634821
"40",0.204168031988301,1.0431583686325,0.0830732909051506,0.130065404406216,-0.989999999812527,3.94927689775168,-0.279595659023613,0.0207191800693039
"41",0.0716204636253048,6.41089653185985,0.0745351726833707,0.305519427830527,-0.31952637277754,3.84848647745286,-0.36636042812155,0.0123805249471022
"42",0.066151288345091,5.50060013299378,0.0860184112083578,0.364267630494325,-0.745153117207109,4.90644238817726,-0.353473901863343,0.010598444038548
"43",0.137140479272878,4.68464098935225,0.0772209825312422,0.358448136120335,-0.854873088772475,3.06074273013393,-0.337900450402156,0.00380835158307397
"44",0.0224861699277997,3.96468232611372,0.0726098031113087,0.318842879088591,-0.867766315055923,3.84290230418337,-0.340996969170929,0.00823609983173216
"45",0.0435207073774627,3.55119849207956,0.0948123945586375,0.353056602486353,-0.856595852662128,4.38305133491728,-0.347012254936837,0.0132555931763271
"46",-0.0131661996127889,4.22784279513202,0.0951915842208295,0.504595303413114,-0.900954772603053,4.12117866509828,-0.368777466045903,0.0105535773033965
"47",0.189971593438072,4.48102023905897,0.0745362753148008,0.357866439654879,-0.738667160985231,3.59777042512518,-0.33322511132635,0.00849231345104109
"48",0.11139468602954,2.73402493698029,0.0977475070675923,0.215865651175769,-0.85954474722257,1.78478441456542,-0.49489054494651,0.0272314471939772
"49",-0.0649468929760464,4.8126557430883,0.0969181865624233,0.31355672577079,-0.652456773621401,3.83752669376611,-0.362688107521448,0.00395477459729011
"50",0.183754250892365,2.90246578159681,0.0729262645436721,0.229566421012964,-0.768075739012346,2.30068534035104,-0.325630174805003,0.00847798423857981
